Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2016/12/5,2016,12,5,‡,2.5,,-0.2,,1.2,,16.8,,0,,5.4,,5.4,,16.4,,0,T,8,,37,
2016/12/6,2016,12,6,‡,3.1,,-2.7,,0.2,,17.8,,0,,0,,0,,0,,1,,,,<31,
2016/12/7,2016,12,7,‡,0.6,,-6.3,,-2.9,,20.9,,0,,0,,0,,0,,1,,,,<31,
2016/12/8,2016,12,8,‡,2.8,,-7.2,,-2.2,,20.2,,0,,0,,0,,0,,0,T,11,,41,
2016/12/9,2016,12,9,‡,0.8,,-1.8,,-0.5,,18.5,,0,,0,,5,,8,,0,T,14,,41,
2016/12/10,2016,12,10,‡,2.5,,-0.1,,1.2,,16.8,,0,,6.2,,0,T,6.2,,5,,8,,37,
2016/12/11,2016,12,11,‡,6.8,,1.9,,4.4,,13.6,,0,,13.4,,0,,13.4,,1,,6,,33,
2016/12/12,2016,12,12,‡,2,,-3,,-0.5,,18.5,,0,,1,,2.4,,6.4,,2,,9,,33,
2016/12/13,2016,12,13,‡,0.7,,-5.7,,-2.5,,20.5,,0,,0,,0,,0,,1,,,,<31,
2016/12/14,2016,12,14,‡,-0.9,,-7.5,,-4.2,,22.2,,0,,0,,0,,0,,1,,,,<31,
2016/12/15,2016,12,15,‡,0.3,,-7.5,,-3.6,,21.6,,0,,0,,0,,0,,0,T,,,<31,
2016/12/16,2016,12,16,‡,-2,,-8.4,,-5.2,,23.2,,0,,0,,0,,0,,0,T,,,<31,
2016/12/17,2016,12,17,‡,-1.2,,-8.7,,-5,,23,,0,,0,,0,,0,,0,T,,,<31,
2016/12/18,2016,12,18,‡,2.2,,-2.9,,-0.4,,18.4,,0,,0,,7,,4.2,,1,,,,<31,
2016/12/19,2016,12,19,‡,4.7,,1.2,,3,,15,,0,,14.4,,0,,14.4,,2,,11,,39,
2016/12/20,2016,12,20,‡,8.8,,1,,4.9,,13.1,,0,,4.8,,0,,4.8,,0,T,22,,54,
2016/12/21,2016,12,21,‡,6.6,,0.3,,3.5,,14.5,,0,,0,,0,,0,,0,T,,,<31,
2016/12/22,2016,12,22,‡,5.5,,1.4,,3.5,,14.5,,0,,1.2,,0,,1.2,,0,T,7,,39,
2016/12/23,2016,12,23,‡,4.5,,1.9,,3.2,,14.8,,0,,15.4,,0,,15.4,,0,T,30,,30,
2016/12/24,2016,12,24,‡,4.4,,-2.4,,1,,17,,0,,0.8,,0,,0.8,,0,T,,,<31,
2016/12/25,2016,12,25,‡,1.8,,-4.7,,-1.5,,19.5,,0,,0,,0,,0,,0,T,,,<31,
2016/12/26,2016,12,26,‡,2.6,,-1.4,,0.6,,17.4,,0,,13.6,,3.4,,19.4,,0,T,11,,46,
2016/12/27,2016,12,27,‡,6.8,,-0.6,,3.1,,14.9,,0,,1.6,,0,,1.6,,0,T,20,,35,
2016/12/28,2016,12,28,‡,5.6,,-1.4,,2.1,,15.9,,0,,5,,0,,5,,0,T,18,,37,
2016/12/29,2016,12,29,‡,4.9,,-0.3,,2.3,,15.7,,0,,9,,0,,9,,0,T,7,,41,
2016/12/30,2016,12,30,‡,4.8,,-0.9,,2,,16,,0,,0,,0,,0,,0,T,28,,41,
2016/12/31,2016,12,31,‡,2.1,,-3,,-0.5,,18.5,,0,,7.2,,4.2,,13.2,,0,T,4,,37,
